Fecha,Pais,Presidente,Orden,Discurso,Oracion,TextoProcesado,PalabrasEliminadas,Clasificacion,Valoracion,Clasificacion2,Valoracion2,PalabrasFrecuentes,PalabrasFrecuentes2
2022,Argentina,Alberto Fernandez,1,Argentina_2022_Alberto_Fernandez.pdf,"Palabras del presidente de la Nación, Alberto Fernández, en el acto oficial por los 3 años de gestión de gobierno, desde el Parque Colón, Casa Rosada   Muy buenos días a todos y a todas.",palabras presidente nación alberto fernández acto oficial 3 años gestión gobierno parque colón casa rosada buenos días todas,"{del, de, la, en, el, por, los, de, de, desde, el, muy, a, todos, y, a}",Neutral,0.0,Neutral,0.0,"['el', ',', 'de']","['palabra', 'presidente', 'nación']"
2022,Argentina,Alberto Fernandez,2,Argentina_2022_Alberto_Fernandez.pdf,"En verdad, es un lindo día para que nos encontremos y es un día para la reflexión colectiva, para eso los he convocado, para eso les he pedido que me acompañen.",verdad lindo día encontremos día reflexión colectiva convocado pedido acompañen,"{en, es, un, para, que, nos, y, es, un, para, la, para, eso, los, he, para, eso, les, he, que, me}",Neutral,0.0,Neutral,0.0,"['para', ',', 'ser']","['día', 'verdad', 'lindo']"
2022,Argentina,Alberto Fernandez,3,Argentina_2022_Alberto_Fernandez.pdf,"Cuando, en aquel mes de mayo, Cristina me propuso que sea c andidato, la verdad, es que nunca pensé que los días que vendrían serían los días que vinieron.",aquel mes mayo cristina propuso c andidato verdad nunca pensé días vendrían días vinieron,"{cuando, en, de, me, que, sea, la, es, que, que, los, que, serían, los, que}",Neutral,0.0,Neutral,0.0,"['que', ',', 'ser']","['día', 'aquel', 'mes']"
2022,Argentina,Alberto Fernandez,4,Argentina_2022_Alberto_Fernandez.pdf,"La verdad es que los dos soñábamos con poner en marcha una Argentina pujante; que estaba muy quedada, que estaba muy atrasada; que había perdido el trabajo; que  había cerrado 23 mil empresas; que se había endeudado más allá de lo debido.",verdad dos soñábamos poner marcha argentina pujante quedada atrasada perdido trabajo cerrado 23 mil empresas endeudado allá debido,"{la, es, que, los, con, en, una, que, estaba, muy, que, estaba, muy, que, había, el, que, había, que, se, había, más, de, lo}",Neutral,0.0,Neutral,0.0,"['que', ';', 'el']","['verdad', 'dos', 'soñábar']"
2022,Argentina,Alberto Fernandez,5,Argentina_2022_Alberto_Fernandez.pdf,"Y creíamos que todo eso era capaces de revertirlo, pero lo que no esperábamos era que, al día 99, una pandemia cayera sobre el mundo y trastocará todos los planes que todos tenía mos.",creíamos capaces revertirlo esperábamos día 99 pandemia cayera mundo trastocará planes mos,"{y, que, todo, eso, era, de, pero, lo, que, no, era, que, al, una, sobre, el, y, todos, los, que, todos, tenía}",Negativo,-0.296,Neutral,0.0,"['que', 'todo', ',']","['creíamos', 'capaz', 'revertir él']"
2022,Argentina,Alberto Fernandez,6,Argentina_2022_Alberto_Fernandez.pdf,"Vino la pandemia; cuando empezamos a superarla nos llegó la mala noticia de que allá en Rusia y Ucrania se habían decidido lanzar una guerra, las timando más vidas de las muchas vidas lastimadas que la pandemia había dejado.",vino pandemia empezamos superarla llegó mala noticia allá rusia ucrania decidido lanzar guerra timando vidas muchas vidas lastimadas pandemia dejado,"{la, cuando, a, nos, la, de, que, en, y, se, habían, una, las, más, de, las, que, la, había}",Neutral,0.0,Neutral,0.0,"['el', 'pandemia', 'de']","['pandemia', 'vida', 'venir']"
2022,Argentina,Alberto Fernandez,7,Argentina_2022_Alberto_Fernandez.pdf,"Y me parece que es bueno que reflexionemos porque tal vez en estos tres años pasaron muchas más cosas, hicimos muchas más cosas de lo que somos capaces de ver.",parece bueno reflexionemos tal vez tres años pasaron muchas cosas hicimos muchas cosas capaces ver,"{y, me, que, es, que, porque, en, estos, más, más, de, lo, que, somos, de}",Neutral,0.0,Neutral,0.0,"['que', 'ser', 'mucho']","['mucho', 'cosa', 'parecer']"
2022,Argentina,Alberto Fernandez,8,Argentina_2022_Alberto_Fernandez.pdf,"Y no la hizo un presidente, la hicimos todos, la hicimos todos, cada uno de nosotros.",hizo presidente hicimos hicimos cada,"{y, no, la, un, la, todos, la, todos, uno, de, nosotros}",Negativo,-0.296,Neutral,0.0,"['él', 'hacer', ',']","['hacer', 'presidente', 'hicimo']"
2022,Argentina,Alberto Fernandez,9,Argentina_2022_Alberto_Fernandez.pdf,Y quiero llamar a esa reflexión col ectiva porque hemos atravesado tormentas –de las peores - y hemos podido superarlas.,quiero llamar reflexión col ectiva atravesado tormentas peores podido superarlas,"{y, a, esa, porque, hemos, las, y, hemos}",Neutral,0.0,Neutral,0.0,"['y', 'haber', 'querer']","['querer', 'llamar', 'reflexión']"
2022,Argentina,Alberto Fernandez,10,Argentina_2022_Alberto_Fernandez.pdf,"En cada tormenta siempre hay un punto azul, y ese punto azul muchos se encargaron de no mostrarla.",cada tormenta siempre punto azul punto azul encargaron mostrarla,"{en, hay, un, y, ese, muchos, se, de, no}",Negativo,-0.296,Neutral,0.0,"['punto', 'azul', 'en']","['punto', 'azul', 'cada']"
2022,Argentina,Alberto Fernandez,11,Argentina_2022_Alberto_Fernandez.pdf,"Mostraron lo gris, mostraron lo difícil, mostraron los errores, pero no m ostraron nunca lo que fuimos capaces de hacer.",mostraron gris mostraron difícil mostraron errores m ostraron nunca capaces hacer,"{lo, lo, los, pero, no, lo, que, fuimos, de}",Negativo,-0.296,Neutral,0.0,"['mostrar', 'él', ',']","['mostrar', 'gris', 'difícil']"
2022,Argentina,Alberto Fernandez,12,Argentina_2022_Alberto_Fernandez.pdf,Quienes están acá atrás mío –todos - cada uno y cada una de ellas son actores centrales de que la Argentina se haya recuperado.,acá atrás cada cada actores centrales argentina recuperado,"{quienes, están, mío, uno, y, una, de, ellas, son, de, que, la, se, haya}",Neutral,0.0,Neutral,0.0,"['cada', 'uno', 'de']","['cada', 'acá', 'atrás']"
2022,Argentina,Alberto Fernandez,13,Argentina_2022_Alberto_Fernandez.pdf,"No son inventos nuestros, no son hologramas, son personas de carne y hueso.",inventos hologramas personas carne hueso,"{no, son, nuestros, no, son, son, de, y}",Negativo,-0.5267,Neutral,0.0,"['ser', 'no', ',']","['invento', 'holograma', 'persona']"
2022,Argentina,Alberto Fernandez,14,Argentina_2022_Alberto_Fernandez.pdf,"Todas  pudieron salir adelante con el esfuerzo propio, sin ninguna duda, y con un Estado presente, que los ayudó a estar de pie y poder avanzar.",todas pudieron salir adelante esfuerzo propio ninguna duda presente ayudó pie poder avanzar,"{con, el, sin, y, con, un, estado, que, los, a, estar, de, y}",Negativo,-0.5574,Neutral,0.0,"[',', 'poder', 'con']","['poder', 'todo', 'salir']"
2022,Argentina,Alberto Fernandez,15,Argentina_2022_Alberto_Fernandez.pdf,"Y hemos hecho mucho, mucho, mucho; y es hora de que nosotros pongamos en valor esos logros y que no nos confundan; porque hemos visto hace una semana cómo el sistema de medios puede ocuparse de tapar una noticia, pero la verdad hace tres años que venimos viendo cómo se tapan noticias en Argentina que hacen al desarrollo de la Argentina y al buen vivir de los argentinos y  de las argentinas.",hecho hora pongamos valor logros confundan visto hace semana cómo sistema medios puede ocuparse tapar noticia verdad hace tres años venimos viendo cómo tapan noticias argentina hacen desarrollo argentina buen vivir argentinos argentinas,"{y, hemos, mucho, mucho, mucho, y, es, de, que, nosotros, en, esos, y, que, no, nos, porque, hemos, una, el, de, de, una, pero, la, que, se, en, que, al, de, la, y, al, de, los, y, de, las}",Negativo,-0.296,Neutral,0.0,"['de', 'y', 'el']","['argentino', 'hacer', 'ver']"
