"nombre_discurso","topico","palabras","probabilidades"
"Argentina_2022_Alberto_Fernandez","Topico_1","['vamos', 'argentina', 'nunca', 'mundo', 'cada', 'libertad', 'terreno', 'esfuerzo', 'poder', 'economía', 'ejercen', 'liderazgos', 'ciento', 'vacunas', 'presente', 'cuenta', 'aplausos', 'dejar', 'lado', 'hacerlo']","[0.017919485, 0.015347235, 0.014193114, 0.011429622, 0.007846333, 0.0078462735, 0.007846233, 0.0078462325, 0.007846211, 0.007846146, 0.007846091, 0.007846022, 0.007766154, 0.007744051, 0.007739198, 0.0076872427, 0.007586725, 0.0075143543, 0.007395923, 0.007343539]"
"Argentina_2022_Alberto_Fernandez","Topico_2","['argentina', 'país', 'año', 'cada', 'trabajo', 'vamos', 'aplausos', 'pública', 'ciento', '3', 'punto', 'día', 'azul', 'vacuna', 'años', 'capaces', 'mundo', 'diarios', 'valor', 'salud']","[0.031289387, 0.016994001, 0.010668248, 0.010646895, 0.0106093865, 0.008594501, 0.007469694, 0.007401012, 0.007259273, 0.007259206, 0.0072591803, 0.007259154, 0.0072590527, 0.0072590364, 0.0071804663, 0.007165107, 0.00715085, 0.0042363694, 0.00415657, 0.003937313]"
"Argentina_2022_Alberto_Fernandez","Topico_3","['funcionar', 'bien', 'poder', 'argentina', 'democracia', 'mostraron', 'hicimos', 'chicos', 'cómo', 'cuidar', 'gente', 'decía', 'llamar', 'atención', 'privado', 'inversión', 'récord', 'sector', 'países', 'seguir']","[0.016705433, 0.013425933, 0.0133224735, 0.012602654, 0.010255914, 0.010249192, 0.01024779, 0.01007068, 0.0071597607, 0.006988099, 0.006987894, 0.0069335764, 0.006821712, 0.0068012583, 0.0065980726, 0.006580466, 0.006580298, 0.00653802, 0.0038845344, 0.0037904992]"
"Argentina_2022_Alberto_Fernandez","Topico_4","['veo', 'trabajo', 'día', 'hablo', 'cayó', 'mil', 'sigan', 'iba', 'argentina', 'siempre', 'injustamente', 'economía', 'voy', 'hoy', 'verdad', 'compañeros', 'compañeras', 'insumos', 'produciendo', 'gastando']","[0.014111852, 0.01359341, 0.010765507, 0.010646149, 0.010646148, 0.010451706, 0.010414594, 0.0073253736, 0.007264026, 0.0072587994, 0.007258786, 0.0072587607, 0.0072587123, 0.007212268, 0.0072052986, 0.007163602, 0.0071497653, 0.007060712, 0.0070375083, 0.007035049]"
"Argentina_2022_Alberto_Fernandez","Topico_5","['argentina', 'dialogo', 'presidente', 'aplausos', 'voy', 'hicimos', 'trabajadores', 'años', 'veo', 'vez', 'pongamos', 'verdad', 'país', '70', 'poner', 'claro', 'mil', 'vacuna', 'mesa', 'liderazgo']","[0.025794206, 0.013018349, 0.0105093755, 0.010497719, 0.010457871, 0.007972537, 0.007967983, 0.0079199355, 0.0079141045, 0.007910863, 0.007888205, 0.007842199, 0.005574265, 0.0054767127, 0.0054699597, 0.0054436526, 0.005440695, 0.0054359394, 0.005435912, 0.00543591]"
"Argentina_2022_Alberto_Fernandez","Topico_6","['pandemia', 'pueblo', 'vivienda', 'años', 'invirtamos', 'democracia', 'muchas', 'llamaba', 'dónde', 'mil', 'día', 'piense', 'vamos', 'deuda', 'tres', 'hicimos', 'sabríamos', 'frente', 'acá', 'gobernar']","[0.020295447, 0.012757929, 0.012445894, 0.01038174, 0.010313848, 0.010068674, 0.0078799175, 0.007854653, 0.007854644, 0.007699217, 0.0076504215, 0.0075534764, 0.0057255654, 0.005629565, 0.005375653, 0.005375591, 0.005355461, 0.0053554275, 0.0053554014, 0.0053553795]"
"Argentina_2022_Alberto_Fernandez","Topico_7","['aplausos', 'educación', 'argentina', 'mil', 'gas', 'vamos', 'país', 'año', 'años', 'cosas', 'plan', 'tecnología', 'presupuesto', 'ciencia', 'aumentó', 'cumplir', 'hoy', 'seguir', 'producto', 'interno']","[0.01948758, 0.019245286, 0.015171398, 0.010151304, 0.009937659, 0.0094087515, 0.00777511, 0.007638507, 0.0076157185, 0.0075748335, 0.007498787, 0.0073652635, 0.0072253845, 0.007118814, 0.0070787743, 0.0070334934, 0.00529174, 0.005226218, 0.005194464, 0.0051944633]"
"Argentina_2023_Javier_Milei","Topico_1","['proyecto', 'argentina', 'argentinos', 'vamos', 'política', 'considera', 'modelo', 'poder', 'cuanto', 'luego', 'ciento', 'cambio', 'país', 'servir', 'mientras', 'caminan', 'ciudadanos', 'rejas', 'bien', 'libres']","[0.009878669, 0.009860071, 0.007519882, 0.007496018, 0.007494376, 0.007494319, 0.0074943076, 0.0074941805, 0.007379273, 0.0073369592, 0.005130964, 0.005125427, 0.0051131495, 0.005109746, 0.0051097167, 0.0051097083, 0.0051097083, 0.0051097064, 0.0051097013, 0.005109701]"
"Argentina_2023_Javier_Milei","Topico_2","['país', 'ser', 'nueva', 'argentina', 'hoy', 'hiperinflación', 'situación', 'dinero', 'ciento', 'encima', 'termina', 'tiempo', 'forma', 'claro', 'comienza', 'gobierno', 'saliente', 'semejante', 'posible', 'cuadro']","[0.018797211, 0.008345331, 0.008345297, 0.008345279, 0.008334046, 0.008259715, 0.008253254, 0.008219733, 0.005742772, 0.0056899977, 0.0056899767, 0.0056899483, 0.0056899437, 0.005689919, 0.0056898845, 0.005648109, 0.0056279907, 0.0056179673, 0.0056078844, 0.0056035416]"
"Argentina_2023_Javier_Milei","Topico_3","['mil', 'millones', 'dólares', 'deuda', 'si', 'fracasado', 'argentinos', 'ideas', 'país', 'hoy', 'hecho', 'nación', 'n', 'vamos', 'privado', 'lamentablemente', 'salud', 'mismo', 'ciento', 'sector']","[0.014650851, 0.014644235, 0.01458623, 0.009933607, 0.009718382, 0.007519768, 0.0074523175, 0.0052535613, 0.005250911, 0.005168712, 0.005153847, 0.005127119, 0.00512703, 0.0051253783, 0.005057184, 0.0050533074, 0.005047348, 0.005046199, 0.0050392677, 0.0050391317]"
"Argentina_2023_Javier_Milei","Topico_4","['aplausos', 'argentinos', 'mil', 'millones', 'dólares', 'país', 'hoy', 'social', 'libertad', 'señores', 'vez', 'deuda', 'ciento', 'mundo', 'vencimientos', 'capacidad', 'año', 'siga', 'casualidad', 'esencia']","[0.026766285, 0.012901692, 0.010390591, 0.010369783, 0.010353725, 0.008133962, 0.007933021, 0.007892857, 0.007892681, 0.007890628, 0.007875868, 0.007870936, 0.0054481816, 0.005381561, 0.0053815227, 0.0053814915, 0.0053814906, 0.0053814515, 0.0053814477, 0.0053813593]"
"Argentina_2023_Javier_Milei","Topico_5","['ciento', 'vamos', 'hoy', 'inflación', 'deja', 'herencia', 'país', 'argentinos', 'programas', 'pobreza', 'anual', 'historia', 'tasa', 'shock', 'gemelos', 'lugar', 'déficit', 'punto', 'camino', 'luz']","[0.014657385, 0.009958685, 0.0076335887, 0.0075132083, 0.0075048353, 0.007470748, 0.0074333586, 0.0051949625, 0.0051509878, 0.0051509873, 0.0051509845, 0.005150984, 0.0051509766, 0.0051509743, 0.005150967, 0.0051509547, 0.0051509505, 0.0051509435, 0.0051509137, 0.0051508984]"
"Argentina_2023_Javier_Milei","Topico_6","['país', 'sido', 'años', 'tal', 'vida', 'día', 'recuerdo', 'importa', '100', 'nivel', 'todas', 'ideas', 'libertad', 'hoy', 'importante', 'dónde', 'dos', 'acción', 'único', 'política']","[0.0131843835, 0.0106762815, 0.010615781, 0.010499097, 0.010386404, 0.010347008, 0.008100441, 0.008100308, 0.008040474, 0.007933099, 0.007932827, 0.007911448, 0.007903717, 0.007856928, 0.0055691027, 0.005536728, 0.005522988, 0.0055229208, 0.0055228993, 0.0055226455]"
"Argentina_2023_Javier_Milei","Topico_7","['ciento', 'puntos', 'mismo', 'país', 'ajuste', 'argentina', 'sólo', 'alternativa', '20', 'fiscal', '16', 'pbi', 'central', 'déficit', 'banco', 'inflación', 'millones', 'vida', 'única', 'si']","[0.013325946, 0.012636354, 0.010799128, 0.010773433, 0.0107696755, 0.010729789, 0.0106026875, 0.008186299, 0.008179153, 0.008131365, 0.008122397, 0.007251394, 0.007235615, 0.00723032, 0.007218549, 0.00560138, 0.0055923727, 0.0055875764, 0.0055816215, 0.0055763894]"
"Bolivia_2017_Evo_Morales","Topico_1","['millones', 'bolivia', 'hermanos', 'aplausos', 'tema', '2005', 'hogares', 'energía', 'ahora', 'hermanas', 'datos', 'va', 'si', 'bolivianos', 'potable', 'acceso', 'construcción', 'agua', 'gobiernos', '2016']","[0.011320532, 0.009797208, 0.008902478, 0.008199176, 0.008086205, 0.006380629, 0.0063693356, 0.0063693286, 0.0063392785, 0.0063000647, 0.0051804734, 0.005173882, 0.0051597496, 0.005096652, 0.0049982374, 0.004898762, 0.0048144385, 0.004738308, 0.004664064, 0.004198311]"
"Bolivia_2017_Evo_Morales","Topico_2","['bolivia', 'aplausos', 'tema', 'pib', '2017', 'cápita', 'per', 'inversión', 'pueblo', 'hacia', 'agosto', '6', 'cobija', '192', 'año', 'internacional', '2016', 'sólo', 'pública', 'diálogo']","[0.0321359, 0.014425317, 0.014130169, 0.012269342, 0.008664028, 0.0066461507, 0.0066461074, 0.0057979436, 0.0057308264, 0.0054624574, 0.005340447, 0.0052739857, 0.005242308, 0.0051449738, 0.0048794197, 0.004686857, 0.004650629, 0.004642612, 0.004618472, 0.004597321]"
